Date,Adj Close,SMA,distance,BUY_or_SELL,SPY_return,strategy_return,cum_SPY_return,cum_strategy_return
2005-11-28,87.99239349365234,88.01561737060547,-0.023223876953125,0.0,,,,
2005-11-29,87.89476013183594,88.12714513142903,-0.23238499959309422,0.0,-0.0011101819528227964,-0.0,-0.0011101819528227964,0.0
2005-11-30,87.4207763671875,88.08648300170898,-0.6657066345214844,0.0,-0.005407220934049613,-0.0,-0.006517402886872409,0.0
2005-12-01,88.31307220458984,88.13180160522461,0.18127059936523438,0.0,0.010155169456446187,0.0,0.0036377665695737776,0.0
2005-12-02,88.42456817626953,88.11088562011719,0.31368255615234375,0.0,0.001261711837166612,0.0,0.00489947840674039,0.0
2005-12-05,88.236328125,88.04698308308919,0.18934504191081203,0.0,-0.0021310898614508526,-0.0,0.0027683885452895376,0.0
2005-12-06,88.40367889404297,88.11553064982097,0.28814824422200047,0.0,0.0018948235106858696,0.0,0.004663212055975407,0.0
2005-12-07,87.88782501220703,88.11437479654948,-0.22654978434245265,0.0,-0.005852299659512438,-0.0,-0.0011890876035370304,0.0
2005-12-08,87.83204650878906,88.18291982014973,-0.35087331136067235,0.0,-0.0006348571144355412,-0.0,-0.0018239447179725717,0.0
2005-12-09,88.06207275390625,88.14108657836914,-0.07901382446289062,0.0,0.002615509571478659,0.0,0.0007915648535060872,0.0
2005-12-12,88.14573669433594,88.09461466471355,0.051122029622391096,0.0,0.0009496054343863005,0.0,0.0017411702878923877,0.0
2005-12-13,88.74523162841797,88.1794319152832,0.5657997131347656,0.0,0.006778155323591436,0.0,0.008519325611483823,0.0
2005-12-14,89.0937728881836,88.29444758097331,0.7993253072102817,0.0,0.003919744231287944,0.0,0.012439069842771766,0.0
2005-12-15,88.83586883544922,88.452454884847,0.3834139506022183,0.0,-0.002898946244733828,-0.0,0.009540123598037938,0.0
2005-12-16,88.54991149902344,88.57209904988606,-0.02218755086262547,0.0,-0.0032241319862023974,-0.0,0.0063159916118355405,0.0
2005-12-19,88.09445190429688,88.57749557495117,-0.4830436706542969,0.0,-0.0051568088024450225,-0.0,0.001159182809390518,0.0
2005-12-20,88.17850494384766,88.5829569498698,-0.40445200602214015,0.0,0.000953669211932524,0.0,0.002112852021323042,0.0
2005-12-21,88.31864166259766,88.51185862223308,-0.1932169596354214,0.0,0.001587977493038188,0.0,0.00370082951436123,0.0
2005-12-22,88.7812271118164,88.4597676595052,0.32145945231120265,0.0,0.005224018565684808,0.0,0.008924848080046038,0.0
2005-12-23,88.83023071289062,88.45882797241211,0.3714027404785156,0.0,0.0005518067687503599,0.0,0.009476654848796399,0.0
2005-12-27,87.92623138427734,88.3548812866211,-0.42864990234375,0.0,-0.010228844817771057,-0.0,-0.0007521899689746578,0.0
2005-12-28,88.1224365234375,88.3595453898112,-0.23710886637370265,0.0,0.0022289884124348505,0.0,0.0014767984434601927,0.0
2005-12-29,87.73002624511719,88.28479894002278,-0.5547726949055942,0.0,-0.004462956315505658,-0.0,-0.002986157872045465,0.0
2005-12-30,87.25350189208984,88.10727564493816,-0.853773752848312,0.0,-0.005446518721965571,-0.0,-0.008432676594011035,0.0
2006-01-03,88.78821563720703,88.10844039916992,0.6797752380371094,0.0,0.017436237827469395,0.0,0.00900356123345836,0.0
2006-01-04,89.2086410522461,88.1715087890625,1.0371322631835938,0.0,0.004723973273536236,0.0,0.013727534506994597,0.0
2006-01-05,89.26471710205078,88.39458974202473,0.8701273600260464,0.0,0.0006283968904926405,0.0,0.014355931397487238,0.0
2006-01-06,90.00756072998047,88.7087771097819,1.298783620198563,0.0,0.00828737034505615,0.0,0.02264330174254339,0.0
